,fitness,code_bit1,code_bit2,code_bit3,code_bit4,code_bit5,code_bit6,code_bit7,code_bit8,code_bit9,code_bit10,code_bit11,code_bit12,code_bit13,code_bit14,code_bit15,code_bit16,code_bit17,code_bit18,code_bit19,code_bit20,code_bit21,operations1,operations2,operations3,operations4,operations5,operations6,operations7,
30,0.9318910241127014,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,input,conv1x1-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,maxpool3x3,output,"{'code': '1-01-001-1000-10000-010100', 'operations': ['input', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}"
31,0.885817289352417,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,input,conv3x3-bn-relu,maxpool3x3,maxpool3x3,conv1x1-bn-relu,conv1x1-bn-relu,output,"{'code': '1-01-100-0100-00110-000100', 'operations': ['input', 'conv3x3-bn-relu', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'output']}"
32,0.9390023946762085,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,input,conv3x3-bn-relu,conv3x3-bn-relu,maxpool3x3,conv1x1-bn-relu,conv1x1-bn-relu,output,"{'code': '0-10-100-1000-00001-011000', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'output']}"
33,0.7769430875778198,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,input,conv1x1-bn-relu,conv1x1-bn-relu,maxpool3x3,maxpool3x3,conv1x1-bn-relu,output,"{'code': '1-01-010-0101-00100-001000', 'operations': ['input', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}"
34,0.9381009340286255,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,input,conv3x3-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,output,"{'code': '0-10-001-1010-00010-101000', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}"
35,0.8939303159713745,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,input,maxpool3x3,maxpool3x3,conv1x1-bn-relu,conv1x1-bn-relu,conv3x3-bn-relu,output,"{'code': '0-10-001-1001-00001-001000', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'output']}"
36,0.9241786599159241,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,input,conv3x3-bn-relu,conv3x3-bn-relu,maxpool3x3,conv3x3-bn-relu,maxpool3x3,output,"{'code': '1-10-001-0101-10000-000010', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}"
37,0.9225761294364929,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,input,conv3x3-bn-relu,conv3x3-bn-relu,maxpool3x3,conv1x1-bn-relu,conv1x1-bn-relu,output,"{'code': '0-10-001-0010-00001-001011', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'output']}"
38,0.8240184187889099,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,input,maxpool3x3,maxpool3x3,maxpool3x3,conv1x1-bn-relu,maxpool3x3,output,"{'code': '0-10-100-1100-10001-000010', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'maxpool3x3', 'output']}"
39,0.9176682829856873,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,input,conv1x1-bn-relu,conv1x1-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,conv1x1-bn-relu,output,"{'code': '0-10-001-0001-00001-011001', 'operations': ['input', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'output']}"
40,0.8925280570983887,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,input,maxpool3x3,conv3x3-bn-relu,maxpool3x3,conv3x3-bn-relu,conv3x3-bn-relu,output,"{'code': '0-10-100-0001-00100-110100', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'output']}"
41,0.8930288553237915,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,input,conv1x1-bn-relu,maxpool3x3,conv1x1-bn-relu,maxpool3x3,maxpool3x3,output,"{'code': '1-10-100-1000-01000-010010', 'operations': ['input', 'conv1x1-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'maxpool3x3', 'maxpool3x3', 'output']}"
42,0.9279847741127014,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,input,maxpool3x3,conv1x1-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,output,"{'code': '1-10-100-0010-00110-000010', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'output']}"
43,0.9346955418586731,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,input,maxpool3x3,conv3x3-bn-relu,conv1x1-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,output,"{'code': '0-10-100-1000-01010-100001', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'output']}"
44,0.9383012652397156,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,input,conv3x3-bn-relu,conv1x1-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,output,"{'code': '0-10-101-0010-10000-001100', 'operations': ['input', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'output']}"
45,0.8828125,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,input,maxpool3x3,conv1x1-bn-relu,conv3x3-bn-relu,maxpool3x3,conv1x1-bn-relu,output,"{'code': '1-01-010-1000-00011-001000', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}"
46,0.8791065812110901,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,input,maxpool3x3,maxpool3x3,conv3x3-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,output,"{'code': '1-01-100-0001-00100-001000', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}"
47,0.8316305875778198,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,input,maxpool3x3,maxpool3x3,maxpool3x3,conv3x3-bn-relu,conv1x1-bn-relu,output,"{'code': '0-10-101-1100-00010-100000', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'maxpool3x3', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}"
48,0.885817289352417,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,input,maxpool3x3,maxpool3x3,conv3x3-bn-relu,conv1x1-bn-relu,conv3x3-bn-relu,output,"{'code': '0-11-101-0001-00001-001000', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'output']}"
49,0.8841145634651184,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,input,conv3x3-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,maxpool3x3,conv1x1-bn-relu,output,"{'code': '0-10-100-1001-01100-000010', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}"
50,0.9420071840286255,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,input,conv3x3-bn-relu,conv1x1-bn-relu,conv1x1-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,output,"{'code': '1-10-010-0100-10000-100100', 'operations': ['input', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}"
51,0.8847155570983887,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,input,maxpool3x3,maxpool3x3,maxpool3x3,conv1x1-bn-relu,conv1x1-bn-relu,output,"{'code': '1-01-010-0100-00010-001000', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'output']}"
52,0.9312900900840759,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,input,conv1x1-bn-relu,conv1x1-bn-relu,conv1x1-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,output,"{'code': '0-10-100-0001-00100-000011', 'operations': ['input', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}"
53,0.8358373641967773,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,input,conv3x3-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,conv1x1-bn-relu,conv3x3-bn-relu,output,"{'code': '0-10-100-0110-10100-100000', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'output']}"
54,0.8346354365348816,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,input,conv1x1-bn-relu,maxpool3x3,conv3x3-bn-relu,conv1x1-bn-relu,conv3x3-bn-relu,output,"{'code': '1-10-100-0011-10000-100000', 'operations': ['input', 'conv1x1-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'output']}"
55,0.8926281929016113,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,input,conv1x1-bn-relu,conv3x3-bn-relu,conv3x3-bn-relu,maxpool3x3,conv1x1-bn-relu,output,"{'code': '1-01-001-0100-01000-100010', 'operations': ['input', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}"
56,0.9162660241127014,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,input,conv3x3-bn-relu,maxpool3x3,maxpool3x3,maxpool3x3,maxpool3x3,output,"{'code': '1-01-110-0100-00100-001000', 'operations': ['input', 'conv3x3-bn-relu', 'maxpool3x3', 'maxpool3x3', 'maxpool3x3', 'maxpool3x3', 'output']}"
57,0.9347956776618958,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,input,conv1x1-bn-relu,conv3x3-bn-relu,maxpool3x3,maxpool3x3,conv1x1-bn-relu,output,"{'code': '0-10-100-0101-00010-011000', 'operations': ['input', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}"
58,0.9114583134651184,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,input,maxpool3x3,conv3x3-bn-relu,maxpool3x3,maxpool3x3,conv1x1-bn-relu,output,"{'code': '1-01-001-0100-10000-010100', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}"
59,0.9233773946762085,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,input,conv3x3-bn-relu,maxpool3x3,maxpool3x3,conv1x1-bn-relu,conv1x1-bn-relu,output,"{'code': '1-01-100-0100-00010-011000', 'operations': ['input', 'conv3x3-bn-relu', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'output']}"
60,0.7769430875778198,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,input,maxpool3x3,conv1x1-bn-relu,conv1x1-bn-relu,conv1x1-bn-relu,maxpool3x3,output,"{'code': '0-10-101-0010-00101-000010', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'output']}"
